Agent_ID,Agent_Name,Region_ID,Agent_Type,Joining_Date,Experience_Years
A0001,Agent 0001,R004,Direct,2022-08-28,4
A0002,Agent 0002,R005,Broker,2021-12-22,15
A0003,Agent 0003,R003,Direct,2021-10-25,10
A0004,Agent 0004,R005,Direct,2024-02-27,10
A0005,Agent 0005,R005,Corporate,2018-07-24,3
A0006,Agent 0006,R002,Broker,2020-08-09,10
A0007,Agent 0007,R003,Broker,2022-11-03,1
A0008,Agent 0008,R003,Corporate,2024-06-26,8
A0009,Agent 0009,R003,Broker,2018-09-18,5
A0010,Agent 0010,R005,Direct,2024-11-12,13
A0011,Agent 0011,R004,Direct,2021-08-14,4
A0012,Agent 0012,R003,Direct,2025-03-29,8
A0013,Agent 0013,R006,Direct,2017-04-06,7
A0014,Agent 0014,R005,Direct,2023-12-13,2
A0015,Agent 0015,R002,Corporate,2020-10-11,1
A0016,Agent 0016,R004,Direct,2019-02-24,12
A0017,Agent 0017,R006,Direct,2025-11-09,11
A0018,Agent 0018,R006,Direct,2017-03-09,4
A0019,Agent 0019,R002,Corporate,2025-11-22,8
A0020,Agent 0020,R004,Direct,2025-08-07,12
A0021,Agent 0021,R005,Broker,2021-09-02,2
A0022,Agent 0022,R001,Direct,2021-02-09,3
A0023,Agent 0023,R004,Direct,2024-07-09,12
A0024,Agent 0024,R002,Direct,2018-06-22,1
A0025,Agent 0025,R006,Direct,2022-06-03,1
A0026,Agent 0026,R005,Direct,2022-01-16,13
A0027,Agent 0027,R004,Direct,2019-10-07,3
A0028,Agent 0028,R001,Broker,2023-09-22,11
A0029,Agent 0029,R001,Direct,2018-09-06,5
A0030,Agent 0030,R003,Direct,2024-11-15,12
A0031,Agent 0031,R003,Direct,2021-10-03,3
A0032,Agent 0032,R002,Direct,2025-01-29,1
A0033,Agent 0033,R004,Broker,2017-05-02,1
A0034,Agent 0034,R004,Direct,2018-11-16,8
A0035,Agent 0035,R006,Direct,2017-01-20,10
A0036,Agent 0036,R006,Direct,2023-06-27,11
A0037,Agent 0037,R006,Direct,2024-04-01,12
A0038,Agent 0038,R003,Broker,2018-04-02,13
