Payment_ID,Claim_ID,Payment_Date,Payment_Amount,Payment_Status,Payment_Mode
PAY00000001,CLM0000001,2025-07-06,6480.88,Completed,Bank Transfer
PAY00000002,CLM0000002,2024-08-22,21093.54,Pending,Bank Transfer
PAY00000003,CLM0000003,2024-08-19,17744.13,Completed,Cheque
PAY00000004,CLM0000005,2022-05-11,33422.34,Completed,Online
PAY00000005,CLM0000008,2025-06-18,2929.81,Completed,Online
PAY00000006,CLM0000008,2025-06-18,6197.48,Completed,Bank Transfer
PAY00000007,CLM0000010,2025-09-12,15941.72,Completed,Online
PAY00000008,CLM0000011,2025-01-02,4046.04,Completed,Bank Transfer
PAY00000009,CLM0000011,2025-01-02,9913.31,Completed,Bank Transfer
PAY00000010,CLM0000012,2023-06-08,5461.57,Completed,Bank Transfer
PAY00000011,CLM0000014,2022-12-21,27167.16,Completed,Bank Transfer
PAY00000012,CLM0000016,2024-09-25,5658.51,Completed,Bank Transfer
PAY00000013,CLM0000018,2024-07-31,34068.06,Completed,Bank Transfer
PAY00000014,CLM0000019,2025-07-09,4395.7,Completed,Online
PAY00000015,CLM0000019,2025-07-09,1821.82,Pending,Bank Transfer
PAY00000016,CLM0000021,2023-09-06,9456.27,Completed,Bank Transfer
PAY00000017,CLM0000022,2023-08-11,28016.05,Completed,Bank Transfer
PAY00000018,CLM0000024,2023-02-16,3649.46,Completed,Bank Transfer
PAY00000019,CLM0000025,2023-01-31,67962.44,Completed,Bank Transfer
PAY00000020,CLM0000026,2023-03-30,18239.59,Completed,Bank Transfer
PAY00000021,CLM0000027,2022-12-11,1748.21,Completed,Bank Transfer
PAY00000022,CLM0000027,2022-12-11,1297.05,Completed,Bank Transfer
PAY00000023,CLM0000029,2023-01-21,20071.39,Completed,Bank Transfer
PAY00000024,CLM0000032,2026-11-01,7310.9,Completed,Online
PAY00000025,CLM0000033,2023-11-21,12193.22,Completed,Bank Transfer
PAY00000026,CLM0000034,2024-03-28,7658.48,Completed,Online
PAY00000027,CLM0000035,2024-01-15,35197.2,Completed,Bank Transfer
PAY00000028,CLM0000036,2022-03-27,21574.4,Completed,Online
