Policy_ID,Customer_ID,Product_ID,Agent_ID,Policy_Start_Date,Policy_End_Date,Premium_Amount,Sum_Assured,Policy_Status,Payment_Mode,Renewal_Status,Region_ID
POL0000001,C012714,P002,A0110,2022-09-04,2024-09-03,19664.93,553939.05,Expired,Annual,Not Renewed,R004
POL0000002,C002955,P003,A0019,2023-06-17,2025-06-16,47130.46,1300551.39,Expired,Annual,Renewed,R004
POL0000003,C013557,P005,A0080,2022-12-30,2024-12-29,60720.62,938163.24,Expired,Monthly,Not Renewed,R006
POL0000004,C009545,P004,A0141,2023-03-03,2024-03-02,8372.78,226128.58,Expired,Annual,Renewed,R004
POL0000005,C003949,P003,A0082,2023-12-18,2024-12-17,39929.74,336007.37,Active,Monthly,Renewed,R001
POL0000006,C011393,P001,A0099,2024-07-22,2026-07-22,27831.72,672718.36,Active,Monthly,Renewed,R002
POL0000007,C007870,P002,A0082,2022-08-04,2023-01-31,17501.32,600542.18,Expired,Monthly,Renewed,R004
POL0000008,C001452,P003,A0058,2021-11-25,2022-11-25,36424.74,1056093.52,Active,Annual,Not Renewed,R003
POL0000009,C011229,P005,A0029,2023-06-28,2024-06-27,53112.48,1364455.1,Expired,Annual,Not Renewed,R003
POL0000010,C004293,P003,A0128,2024-11-16,2025-11-16,27246.63,550176.53,Cancelled,Monthly,Not Renewed,R003
POL0000011,C007248,P001,A0119,2025-01-23,2026-01-23,27076.92,725033.94,Cancelled,Annual,Renewed,R004
POL0000012,C014158,P003,A0101,2023-05-10,2024-05-09,39544.06,778216.17,Expired,Quarterly,Renewed,R001
POL0000013,C003880,P001,A0057,2022-06-15,2023-06-15,15139.98,419906.32,Expired,Monthly,Renewed,R004
POL0000014,C009536,P002,A0016,2025-09-29,2026-09-29,34670.2,947238.15,Expired,Monthly,Not Renewed,R005
POL0000015,C014225,P001,A0068,2023-11-11,2024-11-10,13253,236908.13,Expired,Annual,Renewed,R001
POL0000016,C010569,P004,A0076,2023-05-15,2023-11-11,10758.93,109623.23,Active,Annual,Renewed,R002
POL0000017,C001139,P001,A0063,2024-06-10,2025-06-10,14419.06,338609.06,Expired,Annual,Renewed,R006
POL0000018,C012704,P001,A0027,2021-08-06,2022-08-06,23444.9,784610.66,Expired,Monthly,Renewed,R006
POL0000019,C011489,P004,A0033,2023-01-07,2024-01-07,6327.16,91502.05,Cancelled,Annual,Not Renewed,R004
POL0000020,C005674,P001,A0145,2026-02-02,2027-02-02,12748.43,145507.86,Expired,Monthly,Renewed,R005
POL0000021,C013575,P002,A0001,2023-02-20,2024-02-20,25410.37,383673.04,Active,Annual,Not Renewed,R003
POL0000022,C013223,P002,A0020,2023-05-23,2024-05-22,36326.31,828297.33,Expired,Annual,Not Renewed,R001
POL0000023,C004239,P001,A0015,2023-05-07,2025-05-06,15836.42,435353.91,Active,Quarterly,Renewed,R004
POL0000024,C010722,P001,A0010,2023-10-24,2025-10-23,17282.5,577025.49,Expired,Monthly,Renewed,R003
POL0000025,C009604,P001,A0109,2022-08-19,2023-08-19,27667.85,265102.7,Active,Quarterly,Renewed,R001
POL0000026,C011512,P002,A0040,2024-01-03,2025-01-02,27957.78,276399.87,Expired,Annual,Renewed,R002
POL0000027,C009612,P001,A0128,2022-01-25,2024-01-25,23172.18,304438.99,Cancelled,Annual,Not Renewed,R005
POL0000028,C003298,P001,A0019,2023-02-10,2023-08-09,14292.09,328456.97,Active,Monthly,Renewed,R004
POL0000029,C005180,P002,A0113,2023-02-05,2025-02-04,26934.14,371975.23,Active,Quarterly,Renewed,R001
POL0000030,C009718,P006,A0054,2025-06-30,2026-06-30,71148.27,1983042.44,Expired,Annual,Renewed,R003
POL0000031,C014135,P002,A0084,2023-05-21,2025-05-20,17130.75,529596.31,Expired,Annual,Not Renewed,R004
POL0000032,C002485,P001,A0016,2022-09-28,2023-09-28,23191.44,425284.4,Expired,Quarterly,Not Renewed,R004
POL0000033,C003029,P001,A0070,2023-06-02,2024-06-01,12678.09,291194.84,Expired,Quarterly,Renewed,R005
POL0000034,C002726,P003,A0041,2022-06-11,2024-06-10,25713.33,306668.59,Active,Annual,Renewed,R004
POL0000035,C014315,P001,A0010,2022-09-08,2024-09-07,19238.89,658762.96,Active,Annual,Renewed,R003
POL0000036,C008305,P003,A0023,2022-09-22,2023-09-22,40585.55,344958.99,Expired,Annual,Renewed,R004
POL0000037,C010281,P006,A0102,2021-09-23,2023-09-23,49975.41,531083.23,Active,Monthly,Renewed,R006
POL0000038,C005760,P002,A0143,2025-05-18,2026-05-18,15921.83,139488.98,Active,Quarterly,Not Renewed,R005
POL0000039,C000732,P001,A0081,2024-01-30,2026-01-29,26680.57,818326.25,Active,Annual,Not Renewed,R004
POL0000040,C004483,P003,A0047,2024-11-29,2025-11-29,28905.52,522173.08,Active,Annual,Renewed,R002
POL0000041,C012481,P004,A0100,2021-11-30,2022-11-30,7580.96,264243.07,Active,Monthly,Not Renewed,R001
POL0000042,C008360,P005,A0046,2024-05-08,2025-05-08,28365.3,355909.37,Active,Monthly,Not Renewed,R005
POL0000043,C006027,P004,A0079,2025-06-23,2027-06-23,8868,78130.1,Expired,Annual,Renewed,R006
POL0000044,C014196,P001,A0081,2023-07-22,2024-07-21,24557.53,306481.51,Expired,Quarterly,Renewed,R002
POL0000045,C010452,P003,A0130,2023-11-25,2024-05-23,34056.21,1136385.11,Expired,Annual,Renewed,R005
POL0000046,C008262,P001,A0130,2025-05-15,2026-05-15,14274.45,408335.58,Active,Annual,Renewed,R005
POL0000047,C004924,P001,A0004,2023-08-05,2024-08-04,13678.07,384982.21,Expired,Annual,Renewed,R006
POL0000048,C004854,P001,A0074,2021-04-03,2022-04-03,27025.79,713567.13,Active,Annual,Renewed,R005
POL0000049,C003243,P001,A0062,2023-02-25,2025-02-24,23460.8,247957.57,Expired,Quarterly,Renewed,R006
POL0000050,C007527,P001,A0058,2023-08-13,2024-08-12,18006.98,247334.23,Expired,Quarterly,Renewed,R002
POL0000051,C013353,P004,A0100,2022-07-03,2022-12-30,5813.75,201277.89,Active,Annual,Renewed,R002
POL0000052,C012068,P005,A0128,2023-12-16,2024-12-15,49206.53,936801.6,Active,Monthly,Not Renewed,R006
POL0000053,C014488,P001,A0004,2023-05-24,2024-05-23,22706.58,631442.53,Active,Quarterly,Renewed,R005
POL0000054,C004409,P002,A0070,2022-06-28,2023-06-28,32345.83,1093219.94,Cancelled,Annual,Renewed,R005
